respondent_id,case_id,case_name,category,market,data_status,过去3个月购买,月均购买频次,口味重要性,健康重要性,价格敏感,包装便利,概念相关性,品牌信任,试购结果
SIM-PUFFED-BASELINE-00038,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.4507,0.5003,0.9283,1.5733,0.1936,0.6797,-0.2734,0
SIM-PUFFED-BASELINE-00039,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,1.2962,0.8023,0.4156,-0.4662,0.344,0.3083,-0.0451,1
SIM-PUFFED-BASELINE-00040,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.4712,0.9001,0.5406,0.9571,0.3519,0.9375,-1.4803,1
SIM-PUFFED-BASELINE-00041,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.8252,0.7745,0.538,-1.2547,0.6691,0.8634,-0.4362,1
SIM-PUFFED-BASELINE-00042,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,1.045,0.8923,0.3343,-1.9736,0.7413,0.3683,-0.3156,0
SIM-PUFFED-BASELINE-00043,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.3268,0.7308,0.4135,0.0215,0.4484,0.742,0.2116,1
SIM-PUFFED-BASELINE-00044,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.8232,0.5943,0.3079,0.9073,0.4706,0.6436,0.1239,1
SIM-PUFFED-BASELINE-00045,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.566,0.9622,0.5193,0.1401,0.585,0.368,-0.2527,0
SIM-PUFFED-BASELINE-00046,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.2324,0.7702,0.9206,0.346,0.7781,0.5774,-0.4269,1
SIM-PUFFED-BASELINE-00047,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.7243,0.6425,0.4716,-0.3217,0.5994,0.5758,0.2164,1
SIM-PUFFED-BASELINE-00048,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.6256,0.7507,0.4415,1.1118,0.3652,0.8228,0.0891,0
SIM-PUFFED-BASELINE-00049,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.0066,0.825,0.4243,-0.07,0.713,0.402,1.6424,1
SIM-PUFFED-BASELINE-00050,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.5643,0.8919,0.7679,0.8402,0.5578,0.2787,-0.0988,0
SIM-PUFFED-BASELINE-00051,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.2589,0.7621,0.9136,-1.0041,0.8225,0.6627,-0.74,1
SIM-PUFFED-BASELINE-00052,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,1.0265,0.9241,0.7632,-1.0692,0.5277,0.5727,-0.1956,1
SIM-PUFFED-BASELINE-00053,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,1.0194,0.845,0.5234,0.5813,0.6587,0.5979,1.9629,1
SIM-PUFFED-BASELINE-00054,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.1536,0.3691,0.7323,1.2611,0.3087,0.569,0.038,0
SIM-PUFFED-BASELINE-00055,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.8293,0.886,0.4049,0.7562,0.3166,0.4234,-0.7223,1
SIM-PUFFED-BASELINE-00056,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.0335,0.7785,0.5225,0.5413,0.7326,0.4919,0.6466,1
SIM-PUFFED-BASELINE-00057,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.1173,0.8183,0.3249,-0.7598,0.5791,0.6134,0.4729,1
SIM-PUFFED-BASELINE-00058,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.428,0.6223,0.6604,-0.9217,0.5361,0.7995,1.3513,1
SIM-PUFFED-BASELINE-00059,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.9567,0.777,0.8384,0.5463,0.4784,0.6285,0.1495,1
SIM-PUFFED-BASELINE-00060,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.1189,0.6184,0.7533,-0.2529,0.5385,0.7076,-0.369,1
SIM-PUFFED-BASELINE-00061,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.9624,0.6269,0.3295,-0.059,0.5073,0.6379,0.802,1
SIM-PUFFED-BASELINE-00062,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.4572,0.7776,0.5175,-0.958,0.464,0.3611,-0.1678,0
SIM-PUFFED-BASELINE-00063,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.3983,0.8744,0.7168,0.1777,0.4165,0.6021,0.2247,0
SIM-PUFFED-BASELINE-00064,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.4872,0.4389,0.666,0.4271,0.5847,0.673,-0.8356,0
SIM-PUFFED-BASELINE-00065,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,1.1997,0.9659,0.3278,0.8992,0.5865,0.4201,-1.1466,0
SIM-PUFFED-BASELINE-00066,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.54,0.7386,0.7329,0.6724,0.6964,0.7874,-0.3085,0
SIM-PUFFED-BASELINE-00067,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.3227,0.8143,0.605,-0.4446,0.5276,0.3873,1.4974,1
SIM-PUFFED-BASELINE-00068,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.3813,0.8159,0.6242,0.356,0.225,0.4713,-0.0932,1
SIM-PUFFED-BASELINE-00069,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.2791,0.7197,0.6427,-0.2347,0.7381,0.6035,-1.2445,1
SIM-PUFFED-BASELINE-00070,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.0916,0.7731,0.1544,2.1156,0.3443,0.8057,0.9741,0
SIM-PUFFED-BASELINE-00071,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.6579,0.9078,0.8686,-0.3547,0.8453,0.1906,1.2972,0
SIM-PUFFED-BASELINE-00072,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,1.044,0.8817,0.5644,-0.5878,0.6613,0.6579,0.4033,1
SIM-PUFFED-BASELINE-00073,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,1.1606,0.7404,0.8234,1.2925,0.6705,0.2428,0.55,1
SIM-PUFFED-BASELINE-00074,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.4256,0.7702,0.6494,-0.2136,0.4441,0.4052,0.1424,1
SIM-PUFFED-BASELINE-00075,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.4643,0.8315,0.7279,-1.0451,0.2937,0.6116,1.0498,1
SIM-PUFFED-BASELINE-00076,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.4873,0.6687,0.4352,-1.4813,0.5202,0.4399,0.0681,0
SIM-PUFFED-BASELINE-00077,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.5359,0.8373,0.5841,0.2997,0.404,0.735,0.9144,1
SIM-PUFFED-BASELINE-00078,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.0561,0.9262,0.7,-0.1687,0.5234,0.2347,-0.5326,1
SIM-PUFFED-BASELINE-00079,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.0892,0.8937,0.4398,1.6905,0.5723,0.569,0.1984,1
SIM-PUFFED-BASELINE-00080,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.2379,0.3279,0.6159,0.1702,0.52,0.941,-0.491,1
SIM-PUFFED-BASELINE-00081,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.6593,0.7746,0.311,0.3077,0.1483,0.3406,-1.4055,1
SIM-PUFFED-BASELINE-00082,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.643,0.8333,0.5092,0.1417,0.7433,0.6824,-0.471,0
SIM-PUFFED-BASELINE-00083,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.4802,0.7327,0.5017,-0.9906,0.458,0.5614,-2.1092,1
SIM-PUFFED-BASELINE-00084,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.9914,0.8912,0.6683,2.3056,0.8981,0.5085,-0.888,0
SIM-PUFFED-BASELINE-00085,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,1.0439,0.8624,0.5967,-0.1715,0.7756,0.7838,0.2807,0
SIM-PUFFED-BASELINE-00086,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.8929,0.5965,0.2798,0.5377,0.5116,0.3761,-1.2105,0
SIM-PUFFED-BASELINE-00087,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.914,0.8166,0.7478,-0.7472,0.6566,0.2586,-0.0365,1
SIM-PUFFED-BASELINE-00088,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.7094,0.3717,0.6131,-0.5295,0.3913,0.7696,-1.062,1
SIM-PUFFED-BASELINE-00089,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.452,0.7105,0.6316,2.4326,0.7744,0.5491,-2.0822,0
SIM-PUFFED-BASELINE-00090,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.4807,0.7503,0.8765,-0.3418,0.4708,0.7717,0.0105,0
SIM-PUFFED-BASELINE-00091,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.8328,0.5688,0.3786,-1.4468,0.4399,0.5692,0.9462,1
SIM-PUFFED-BASELINE-00092,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.5022,0.745,0.8269,0.6487,0.39,0.5684,1.3891,0
SIM-PUFFED-BASELINE-00093,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.231,0.9421,0.386,0.1883,0.5343,0.526,0.6354,1
SIM-PUFFED-BASELINE-00094,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.3302,0.8099,0.8679,0.1704,0.7095,0.8574,1.0882,1
SIM-PUFFED-BASELINE-00095,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.4366,0.7176,0.6887,-0.0232,0.4785,0.7705,1.046,1
SIM-PUFFED-BASELINE-00096,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.816,0.8243,0.3301,1.5261,0.7443,0.7482,-0.065,0
SIM-PUFFED-BASELINE-00097,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.4568,0.8864,0.8787,-0.3928,0.7003,0.6047,-0.3063,1
SIM-PUFFED-BASELINE-00098,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.0779,0.6888,0.613,-0.5486,0.8853,0.285,0.5815,0
SIM-PUFFED-BASELINE-00099,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.1748,0.7129,0.2152,-2.5122,0.6405,0.8228,-0.7436,0
SIM-PUFFED-BASELINE-00100,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.2429,0.701,0.6017,1.352,0.6045,0.7896,0.8431,1
SIM-PUFFED-BASELINE-00101,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,1.1207,0.8546,0.4247,0.2985,0.3732,0.1809,-0.7259,1
SIM-PUFFED-BASELINE-00102,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.4703,0.8276,0.4919,0.3101,0.8239,0.625,0.9023,1
SIM-PUFFED-BASELINE-00103,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.1977,0.2989,0.8272,-0.6154,0.2412,0.5051,-0.4407,0
SIM-PUFFED-BASELINE-00104,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.0686,0.5779,0.8734,0.2209,0.7347,0.6518,-1.3938,0
SIM-PUFFED-BASELINE-00105,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,1.0992,0.7712,0.7806,-1.4373,0.6217,0.6816,-1.7529,1
SIM-PUFFED-BASELINE-00106,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.3765,0.703,0.7156,-0.2701,0.7324,0.1946,0.6285,0
SIM-PUFFED-BASELINE-00107,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.2978,0.6753,0.5728,-0.038,0.4776,0.8933,0.1645,1
SIM-PUFFED-BASELINE-00108,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.7686,0.877,0.3372,-0.6825,0.7976,0.1787,0.9192,1
SIM-PUFFED-BASELINE-00109,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.4687,0.7971,0.6972,-0.8148,0.4591,0.5331,-0.0397,1
SIM-PUFFED-BASELINE-00110,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.2518,0.673,0.8447,1.2894,0.6773,0.5544,-0.8809,1
SIM-PUFFED-BASELINE-00111,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.0711,0.7383,0.4715,-0.3655,0.7404,0.5948,0.2158,0
SIM-PUFFED-BASELINE-00112,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.702,0.8519,0.529,0.904,0.4122,0.8497,-0.0915,1
SIM-PUFFED-BASELINE-00113,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.2782,0.6391,0.4433,-1.4709,0.7423,0.3771,-0.0059,1
SIM-PUFFED-BASELINE-00114,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.3109,0.4076,0.7598,0.0653,0.5925,0.5454,-0.3677,0
SIM-PUFFED-BASELINE-00115,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.6241,0.7782,0.8133,1.4183,0.6633,0.5232,-0.6905,1
SIM-PUFFED-BASELINE-00116,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.2867,0.8953,0.7611,-0.7754,0.2628,0.7443,0.1828,1
SIM-PUFFED-BASELINE-00117,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.1485,0.9141,0.7279,-1.3144,0.6525,0.2987,0.2706,1
SIM-PUFFED-BASELINE-00118,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.1128,0.9741,0.4514,1.7973,0.7938,0.6573,-0.9738,1
SIM-PUFFED-BASELINE-00119,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.1277,0.6652,0.7485,0.5846,0.3222,0.3607,-1.0616,1
SIM-PUFFED-BASELINE-00120,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.4966,0.9846,0.6494,-0.8477,0.5298,0.3502,-1.6007,0
SIM-PUFFED-BASELINE-00121,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.1477,0.8927,0.3213,-1.2227,0.5563,0.4013,-1.9164,1
SIM-PUFFED-BASELINE-00122,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.9721,0.7228,0.6823,0.156,0.1825,0.4114,-1.3082,1
SIM-PUFFED-BASELINE-00123,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.3162,0.8469,0.6915,-0.3215,0.632,0.4173,-0.5996,1
SIM-PUFFED-BASELINE-00124,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,1.0708,0.6875,0.8012,1.5094,0.3093,0.4985,-0.8892,1
SIM-PUFFED-BASELINE-00125,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.3909,0.933,0.3925,0.71,0.7151,0.87,-0.4467,1
SIM-PUFFED-BASELINE-00126,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.5731,0.7685,0.8888,-0.165,0.7605,0.7205,0.9831,1
SIM-PUFFED-BASELINE-00127,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.6868,0.7664,0.4035,-0.0869,0.5395,0.4201,1.2472,1
SIM-PUFFED-BASELINE-00128,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.4678,0.895,0.6068,0.1263,0.7492,0.767,0.0188,1
SIM-PUFFED-BASELINE-00129,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.7163,0.8472,0.3864,0.9777,0.9335,0.5602,1.5389,1
SIM-PUFFED-BASELINE-00130,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.8662,0.7909,0.5572,-0.9068,0.4268,0.5448,0.3663,1
SIM-PUFFED-BASELINE-00131,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.2153,0.619,0.3815,-0.6343,0.4043,0.8044,-1.3828,1
SIM-PUFFED-BASELINE-00132,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.982,0.9292,0.7491,0.2253,0.4714,0.8665,-0.8618,1
SIM-PUFFED-BASELINE-00133,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,0,0.9323,0.7505,0.8811,-0.5465,0.3911,0.6101,-1.0012,0
SIM-PUFFED-BASELINE-00134,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.1339,0.7145,0.819,-1.4249,0.7951,0.2699,-0.6908,1
SIM-PUFFED-BASELINE-00135,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.6497,0.944,0.244,-0.921,0.7595,0.8129,-0.906,1
SIM-PUFFED-BASELINE-00136,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.9889,0.799,0.5728,1.6366,0.9153,0.2597,-0.301,1
SIM-PUFFED-BASELINE-00137,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,0.3596,0.6033,0.8106,-1.8522,0.6036,0.7513,0.9294,1
SIM-PUFFED-BASELINE-00138,SIM-PUFFED-BASELINE,中国膨化食品消费者基线,膨化食品,中国,模拟,1,1.1122,0.4296,0.526,-1.0297,0.2975,0.4523,0.537,1
